year_and_fraction,GMSL_cm,GMSL_60smooth
1993.010959,-0.230726,-0.445896
1993.030137,-0.303428,-0.466597
1993.049315,-0.460243,-0.472719
1993.068493,-0.599208,-0.454883
1993.087671,-0.635877,-0.425817
1993.106849,-0.570103,-0.428338
1993.126027,-0.509445,-0.428794
1993.145206,-0.330038,-0.424755
1993.164384,-0.193289,-0.423003
1993.183562,-0.253411,-0.420715
1993.20274,-0.307533,-0.416704
1993.221918,-0.42389,-0.408239
1993.241096,-0.583445,-0.411499
1993.260274,-0.615283,-0.443668
1993.279452,-0.534001,-0.47749
1993.29863,-0.433261,-0.515472
1993.317808,-0.359379,-0.544253
1993.336986,-0.482812,-0.556466
1993.356164,-0.557807,-0.559747
1993.375343,-0.649372,-0.562841
1993.394521,-0.68292,-0.546611
1993.413699,-0.693363,-0.531251
1993.432877,-0.644804,-0.498515
1993.452055,-0.561852,-0.452548
1993.471233,-0.287191,-0.393139
1993.490411,-0.221136,-0.351437
1993.509589,-0.188187,-0.293704
1993.528767,-0.14411,-0.219591
1993.547945,-0.114689,-0.136523
1993.567123,-0.307602,-0.064642
1993.586301,-0.173768,0.014816
1993.60548,0.022215,0.093328
1993.624658,0.185758,0.158136
1993.643836,0.359738,0.22751
1993.663014,0.493991,0.32549
1993.682192,0.518422,0.422177
1993.70137,0.439158,0.524716
1993.720548,0.509675,0.612009
1993.739726,0.574225,0.680785
1993.758904,0.696414,0.723814
1993.778082,0.945068,0.740103
1993.79726,0.971388,0.762411
1993.816438,0.978725,0.764732
1993.835616,0.881248,0.754807
1993.854795,0.665026,0.74815
1993.873973,0.63993,0.731467
1993.893151,0.530564,0.720887
1993.912329,0.484898,0.706377
1993.931507,0.636503,0.671661
1993.950685,0.794919,0.635179
1993.969863,0.876173,0.602562
1993.989041,0.848135,0.585275
1994.008219,0.568798,0.557468
1994.027397,0.336693,0.49542
1994.046575,0.346374,0.387955
1994.065753,0.374986,0.280191
1994.084932,0.23463,0.19897
1994.10411,0.078074,0.151417
1994.123288,-0.172267,0.129488
1994.142466,-0.093708,0.119635
1994.161644,0.117154,0.100504
1994.180822,0.140814,0.09393
1994.2,0.139334,0.106433
1994.219178,0.257699,0.140996
1994.238356,0.202803,0.162782
1994.257534,0.175464,0.136272
